correct,total,strategy_type,sequence_type,aggregation_type,reflection_type,oneshot_model_type,oneshot_reflect_type,seed
111,134,aggregate,all_normal_reflect,majority_vote,always,,,0
110,134,aggregate,all_normal_reflect,majority_vote,never,,,0
112,134,aggregate,all_normal_reflect,majority_vote,only_if_sat,,,0
115,134,aggregate,all_normal_reflect,favor_unsat,always,,,0
115,134,aggregate,all_normal_reflect,favor_unsat,never,,,0
116,134,aggregate,all_normal_reflect,favor_unsat,only_if_sat,,,0
107,134,aggregate,all_normal_reflect,judge,always,,,0
114,134,aggregate,all_normal_reflect,majority_vote,always,,,1
110,134,aggregate,all_normal_reflect,majority_vote,never,,,1
114,134,aggregate,all_normal_reflect,majority_vote,only_if_sat,,,1
119,134,aggregate,all_normal_reflect,favor_unsat,always,,,1
118,134,aggregate,all_normal_reflect,favor_unsat,never,,,1
119,134,aggregate,all_normal_reflect,favor_unsat,only_if_sat,,,1
111,134,aggregate,all_normal_reflect,judge,always,,,1
116,134,aggregate,all_normal_reflect,majority_vote,always,,,2
109,134,aggregate,all_normal_reflect,majority_vote,never,,,2
116,134,aggregate,all_normal_reflect,majority_vote,only_if_sat,,,2
118,134,aggregate,all_normal_reflect,favor_unsat,always,,,2
116,134,aggregate,all_normal_reflect,favor_unsat,never,,,2
118,134,aggregate,all_normal_reflect,favor_unsat,only_if_sat,,,2
113,134,aggregate,all_normal_reflect,judge,always,,,2
